"ID_Vaca","Grupo","Estatus","DIM","Leche_AM","Leche_Total","Leche_Anterior","Variacion","CCS","Casos_Mastitis","Ultimo_Tratamiento","Proxima_Revision","Ultimo_Evento_Vet","Toro","Cant_Insem","Fecha_Insem","Dias_Faltan","IEP","Servicios","Categoria","Estatus_Repro","Conteo_Mastitis","Año","Mes","Ubicacion"
"3018","14","Preñ","321","21.84","44.5","41.9","0.29","5296","2","BIO4+ANTI7","12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","2",2025,"Julio","7PULILI"
"3028","14","Preñ","390","15.79","31.6","30.5","0.55","7107",NA,NA,"26-02-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3073","14","Insem","366","21.8","42.2","39.4","0.38","6665","5","ENR+NE4+GE6+ME3",NA,NA,"WISEUP","3","15-09-25",NA,"456","3","Vaca","Inseminada/Preñada","5",2025,"Julio","7PULILI"
"3086","14","Insem","293","20.44","39.6","39.5","-0.13","3915","2","BIO4+ENRO6",NA,NA,"WISEUP","1","8-09-25",NA,"376","1","Vaca","Inseminada/Preñada","2",2025,"Julio","7PULILI"
"3124","14","Preñ","355","17.81","37","37.2","-0.12","6480","1","NEO4+ENRO6","5-02-26","SECADO",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"3154","14","Preñ","329","18.29","36.5","36.3","-0.28","5236",NA,NA,"26-02-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3165","14","Vacia","326","25.78","50.5","48","0.69","5923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3166","14","Preñ","353","20.02","38.3","36.9","-0.02","6129",NA,NA,"25-02-26","VACUNA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3168","14","Preñ","362","18.68","36.8","35.2","0.31","5513",NA,NA,"12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3170","14","Insem","317","21.14","39.6","39.1","0.65","4619","1","BIO4+ENR7+ANT5",NA,NA,"WISEUP","2","3-09-25",NA,"395","2","Vaca","Inseminada/Preñada","1",2025,"Julio","7PULILI"
"3177","14","Insem","279","23.6","44.2","41.5","0.06","3403","1","NEO4+ENRO6",NA,NA,"WISEUP","1","22-09-25",NA,"376","1","Vaca","Inseminada/Preñada","1",2025,"Julio","7PULILI"
"3189","14","Preñ","310","23.4","45.7","44.1","0.02","5173",NA,NA,"12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3193","14","Insem","301","17.02","33.7","35.1","-0.57","4224",NA,NA,NA,NA,"WISEUP","1","1-09-25",NA,"377","1","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3199","14","Insem","353","16.45","30.1","28.1","-0.39","5796",NA,NA,NA,NA,"INDEPENDANT","4","13-09-25",NA,"441","4","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3202","14","Insem","291","19.65","37.8","36.3","-0.32","3573",NA,NA,NA,NA,"WISEUP","1","15-09-25",NA,"381","1","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3205","14","Preñ","346","20.27","40","37.7","-0.31","6080",NA,NA,"9-02-26","SECADO",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3209","14","Preñ","329","21.61","42.2","38.6","-0.23","5560",NA,NA,"26-02-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3211","14","Insem","330","17.74","34.5","33.6","0.42","4277",NA,NA,NA,NA,"INDEPENDANT","3","1-09-25",NA,"406","3","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3215","14","Insem","303","24.86","46.3","43.5","-0.27","4729","1","NEO4+ENRO7",NA,NA,"WISEUP","1","25-08-25",NA,"372","1","Vaca","Inseminada/Preñada","1",2025,"Julio","7PULILI"
"3236","14","Insem","276","19.97","37.4","37.8","-0.31","3058",NA,NA,NA,NA,"WISEUP","1","22-09-25",NA,"373","1","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"2894","15","Alta","223","27.08","55","50.8","-0.07","1112","1","BIOF3+ENRO6",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"2956","15","Alta","226","21.41","44.8","44.1","-0.1","1428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3081","15","Vacia","259","22.86","44.2","40.5","-0.67","3123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3090","15","Insem","269","23.83","47.6","40.9","-0.06","3724",NA,NA,NA,NA,"WISEUP","1","12-09-25",NA,"356","1","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
